slug,name,region,lat,lon,rock_type,aspect,altitude_m,routes_count,grade_range,style,approach_mins,best_season,rain_dry_hours,dog_friendly,family_friendly,parking_lat,parking_lon,parking_cost,facilities,guidebook,hazards,description
tremadog,Tremadog,snowdonia,52.9412,-4.1378,dolerite,SW,100,200+,Diff-E7,trad-sport,"5-20",year-round,2,"yes","some",52.9434,-4.1389,free,cafe|pub,Rockfax-North-Wales,"loose-rock|polish","Legendary crag above Porthmadog. Superb steep routes on perfect rock. Vector and One Step in the Clouds are UK classics. Can be greasy when humid. Café at base."
gogarth,Gogarth,anglesey,53.2867,-4.6534,quartzite,W,0-100,500+,VDiff-E9,trad,"20-60",spring-autumn,24,"no","no",53.2889,-4.6389,free,none,Rockfax-North-Wales,"tides|sea-cliffs|loose|serious","Wales's premier sea cliff. Atmospheric, adventurous, serious. North Stack Wall is world-class. Check tides, bring helmets, expect adventure. Not for the faint-hearted."
llanberis-pass,Llanberis Pass,snowdonia,53.0534,-4.0234,rhyolite,various,300-600,300+,Mod-E9,trad,"5-30",spring-autumn,6,"some","no",53.0578,-4.0389,limited,none,Rockfax-North-Wales,"weather|altitude|traffic","The classic Welsh climbing venue. Dinas Cromlech with Cenotaph Corner. Clogwyn y Grochan. Extreme history, extreme routes. Limited parking - arrive early."
slate,Dinorwig Slate Quarries,snowdonia,53.1134,-4.1234,slate,various,200-400,200+,4a-8a+,sport-trad,"10-40",year-round,1,"yes","older-kids",53.1156,-4.1178,5,cafe|toilets,Rockfax-North-Wales,"loose|sharp|wet","Unique quarry climbing on angular slate. Rainbow Slab area is incredible. Dries fast but beware sharp edges. Industrial archaeology meets vertical dance."
pembroke,Pembroke,pembrokeshire,51.6234,-4.9567,limestone,S-W,0-50,1000+,Diff-E9,trad-sport,"5-30",year-round,4,"some","older-kids",varies,varies,varies,varies,Rockfax-Pembroke,"tides|loose|sea-cliffs","Huge area of sea cliffs with everything from gentle slabs to overhanging nightmares. Stackpole and Bosherston for easier routes. St Govans for hardcore. Tidal access on some."
pen-trwyn,Pen Trwyn (Great Orme),north-wales,53.3267,-3.8534,limestone,N-W,50-200,300+,5a-8c+,sport,"5-15",year-round,2,"yes","no",53.3234,-3.8478,free,cafe,Rockfax-North-Wales,"polish|sharp","Premier Welsh sport crag. Steep limestone with pockets and tufas. Lower Pen Trwyn good for warming up. Upper tier serious. Marine Drive access."
llanbradach,Llanbradach Quarry,south-wales,51.5934,-3.2234,sandstone,S,150,80+,4a-7c,sport,"5",year-round,4,"yes","yes",51.5945,-3.2245,free,none,CC-South-Wales,"quarry|loose-top","Sheltered quarry with good sport routes. Quick drying. Popular with learners and mid-grade climbers. Short approach from car park."
ogmore,Ogmore,south-wales,51.4634,-3.6234,limestone,S,10,100+,Diff-HVS,trad,"5",year-round,2,"yes","older-kids",51.4645,-3.6189,free,pub,CC-South-Wales,"tides|polish","Roadside sea cliffs with accessible trad routes. Good for learning to lead. Check tides for lower routes. Stepping stones across river."
clogwyn-dur-arddu,Clogwyn Du'r Arddu,snowdonia,53.0812,-4.0856,rhyolite,N,600,50+,VS-E7,trad,"45-60",summer,24,"no","no",53.0578,-4.0389,limited,none,Rockfax-North-Wales,"alpine|serious|remote","The Black Cliff - Britain's most serious mountain crag. Routes like Great Wall and Vember are legendary. Alpine atmosphere. Experienced parties only. Slow to dry."
rhoscolyn,Rhoscolyn,anglesey,53.2534,-4.5789,quartzite,S-W,0-30,100+,Diff-E4,trad,"10-20",year-round,6,"yes","older-kids",53.2545,-4.5734,free,none,Rockfax-North-Wales,"tides|access-sensitive","Hidden gem with friendly routes and great position. Good for learning sea cliff skills. Check tides for lower areas. Respect access - sensitive area."
craig-y-forwyn,Craig y Forwyn,north-wales,53.0789,-3.5234,limestone,S,200,60+,4a-7b+,sport,"5",year-round,2,"yes","yes",53.0778,-3.5245,free,none,Rockfax-North-Wales,"polish","Popular sport crag near Llandudno. Quick drying limestone. Good grades for progression. Can be busy but friendly atmosphere."
cilan,Cilan Head,llyn-peninsula,52.7934,-4.5234,granite,W,0-50,80+,Diff-E5,trad,"15-30",spring-autumn,6,"some","no",52.7889,-4.5189,3,none,CC-Llyn,"tides|sea-cliffs|remote","Exposed granite sea cliffs with adventurous routes. Remote setting on Llŷn Peninsula. Check tides and weather. Proper adventure climbing."
