slug,name,region,lat,lon,water_type,difficulty,depth_m,water_quality,temperature_summer,features,access_walk_mins,parking_lat,parking_lon,parking_cost,facilities,hazards,dog_friendly,best_time,description
fairy-glen,Fairy Glen,snowdonia,53.0834,-3.8134,river,moderate,2-3,good,14,waterfalls|pools|gorge,10,53.0845,-3.8089,3,none,currents|rocks|slippery,"some",summer,"Series of pools and small falls in wooded gorge. Magical atmosphere. Slippery rocks require care. Can be busy on hot days."
horseshoe-falls,Horseshoe Falls,north-wales,52.9789,-3.1634,river,moderate,2,good,15,waterfall|pool|canal-heritage,5,52.9801,-3.1645,3,cafe|toilets,currents|rocks|cold,"yes",summer,"Weir creates swimming pool on River Dee. Canal boats pass above on aqueduct. Historic setting near Llangollen. Can be strong current after rain."
rhaeadr-ewynnol,Swallow Falls,snowdonia,53.0789,-3.8534,river,easy-moderate,2,good,13,waterfall|pools|iconic,2,53.0778,-3.8545,2,none,rocks|currents|cold,"some",summer,"Wales's most famous waterfall with pools above and below. Cold but refreshing. Busy viewing area but quieter swimming spots nearby."
pistyll-rhaeadr,Pistyll Rhaeadr,powys,52.8550,-3.3785,waterfall,moderate,,good,,waterfall|tallest-single-drop|pool,,,,cafe|toilets,rocks|slippery,"yes",summer,"Highest waterfall in Wales (single drop). Pool at the bottom is swimmable but cold. Spectacular setting."
aber-falls,Aber Falls,snowdonia,53.2105,-3.9950,waterfall,easy,,excellent,,waterfall|accessible|valley,30,53.23,-4.01,3,none,cold|rocks,"yes",summer,"Spectacular waterfall at the end of a valley walk. Shallow pools but great for a dip. Very popular."
devils-bridge,Devil's Bridge Falls,mid-wales,52.3768,-3.8500,waterfall,moderate,,good,,waterfall|gorge|steps,,,,cafe|toilets,steps|slippery,"no",summer,"Series of waterfalls and pools in a deep gorge. Famous bridges. Fee for entry to walk."
cenarth-falls,Cenarth Falls,mid-wales,52.0457,-4.5238,river,easy,,good,,waterfall|salmon-leap|bridge,,,,pub|toilets,currents,"yes",summer,"Falls on the River Teifi. Famous for coracles and salmon. Pools below the falls."
conwy-falls,Conwy Falls,snowdonia,53.0652,-3.7791,waterfall,moderate,,good,,waterfall|gorge|woodland,,,,cafe,currents|deep,"yes",summer,"Deep gorge on the River Conwy. Cafe nearby. Access can be tricky."
melincourt-falls,Melincourt Falls,south-wales,51.7014,-3.7008,waterfall,easy,,good,,waterfall|woodland|nature-reserve,15,,,free,none,rocks,"yes",summer,"Impressive 80ft waterfall in a nature reserve. Good pool for dipping."
henrhyd-falls,Henrhyd Falls,brecon-beacons,51.7943,-3.6633,waterfall,moderate,,good,,waterfall|batman-cave|pool,20,51.796,-3.663,free,none,slippery|cold,"yes",summer,"Highest waterfall in South Wales. You can walk behind it (Batman cave). Plunge pool is cold but swimmable."
watkin-path-pools,Watkin Path Pools,snowdonia,53.0685,-4.0762,river,moderate,,excellent,,waterfalls|pools|crystal-clear,30,53.05,-4.05,5,none,slippery|cold|crowds,"yes",summer,"Series of crystal clear pools and waterfalls on the Watkin Path up Snowdon. Very popular in summer. Stunning blue water."
sgwd-gwladus,Sgwd Gwladus,brecon-beacons,51.7600,-3.5800,waterfall,easy,,good,,waterfall|pool|woodland,30,51.7554,-3.5878,free,pub|toilets,slippery,"yes",summer,"Lady Falls. Elegant waterfall with a large plunge pool. Accessible walk from Pontneddfechan."
the-warren,The Warren,mid-wales,52.0750,-3.1250,river,easy,,good,,river-beach|meadow|popular,5,52.075,-3.125,free,none,currents,"yes",summer,"Famous river beach on the Wye near Hay. Grassy bank, shingle beach. Popular with families."
skenfrith-castle,Skenfrith Castle,south-wales,51.8784,-2.7902,river,easy,,good,,castle|river|picnic,2,51.8784,-2.7902,free,pub|castle,currents,"yes",summer,"Swim in the Monnow right next to a medieval castle. Grassy banks, popular picnic spot."
wolfs-leap,Wolf's Leap,mid-wales,52.1588,-3.6773,river,hard,,excellent,,gorge|remote|pools,10,,,free,none,rocks|remote|cold,"yes",summer,"Remote and spectacular gorge on the River Irfon. Deep pools and rocky steps. For experienced swimmers due to remoteness."
