slug,name,description
snowdonia,Snowdonia,"Mountains, zip lines, gorge walking, slate mines. Wales' adventure epicentre."
pembrokeshire,Pembrokeshire,"Coasteering capital. Dramatic cliffs, hidden coves, sea kayaking, surfing."
brecon-beacons,Brecon Beacons,"Waterfalls, caving, hiking, horse riding. Gentler than Snowdonia but still wild."
gower,Gower,"Surf beaches, cliff walks, coastal camping. Closest adventure to Cardiff/Swansea."
anglesey,Anglesey,"Sea kayaking, coasteering, kitesurfing. Underrated island with unique geology."
llyn-peninsula,Llŷn Peninsula,"Remote beaches, sailing, coastal walks. Quieter alternative to Pembrokeshire."
mid-wales,Mid Wales,"Mountain biking, wild camping, empty hills. Wales' empty quarter."
wye-valley,Wye Valley,"Canoeing, climbing, forest trails. Adventure on the Welsh-English border."
north-wales-coast,North Wales Coast,"Family beaches, bike trails, Great Orme. Gateway to Snowdonia."
south-wales-valleys,South Wales Valleys,"BikePark Wales, trail centres, industrial heritage adventures."
carmarthenshire,Carmarthenshire,"Rolling hills, river kayaking, horse riding. Quiet rural adventures."
